-1,-1.4,-3.8
6.7,-1.3,-3.8
6.7,-1.3,-7.2
11.7,-1.3,-7.2
11.7,-1.2,-1
11.7,-1.2,0.3
11.7,-1.1,4.3
6.5,-1.1,4.3
6.5,-1.2,2
-0.8,-1.4,2
-0.8,-1.4,-2.5
-0.8,0,-0.5
-7.1,0,-0.5
-7.1,0,-1.9
-7.2,-1.4,-1.9
-7.2,-1.4,0
-21.3,-1.4,0
-21.3,-1.4,-8.6
-20.4,-1.4,-8.6
-9.2,-1.4,-8.6
-9.2,-1.4,-4.8
-7.5,-1.4,-4.8
-7.5,0,-10.9
-3.1,-1.4,-10.9
-8.8,-1.4,-10.9
-8.8,-1.4,-15.5
-8.5,-1.4,-15.5
-8.5,-1.4,-16.1
-8.8,-1.4,-16.1
-8.8,-1.4,-17.7
-1.9,-1.4,-17.7
-1.9,-1.4,-16.1
-2.3,-1.4,-16.1
-2.3,-1.4,-15.5
-1.9,-1.4,-15.5
-1.9,-1.4,-10.9
-1,0,-10.9
