-1,-1.4,-3.8
6.7,-1.3,-3.8
6.8,-1.3,-7
11.7,-1.3,-7.1
11.8,-1.2,-1
11.8,-1.2,0.3
11.9,-1.1,4.2
6.6,-1.1,4.4
6.5,-1.2,2
-0.8,-1.4,2
-0.9,-1.4,-2.5
